,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
262,1500242821,84.44444444,42.44976303,25.4,210,29.7207467,457.9943906,126.763943,FS,88.08080862,25,45.35,2015
383,1512244452,84.44444444,33.07539367,25.12222222,300,25.77633575,376.2775912,96.78527601,FS,58.70838479,25.15,45.5,2016
239,1490541653,85,56.09955437,6.375,170,42.02015263,122.413878,34.52438601,FS,100,24.88,45.25,2014
254,1512240421,85,44.14991506,19.925,80,12.24727905,128.4813321,36.39862673,FS,55.02535636,25.15,45.14,2015
413,1508538024,85.33333333,28.13437643,22.98666667,510,31.70550284,374.9416167,105.7447842,FS,100,25.11,44.92,2014
371,1516242821,85.38461538,33.75813542,23.2,410,36.69700662,565.9679947,159.6199535,FS,100,25.21,45.35,2015
198,1464542853,85.55555556,32.40905223,16.41111111,330,27.22303132,366.9660566,103.4954369,FS,100,24.55,45.36,2017
312,1486240852,85.55555556,33.93110667,16.63333333,240,21.70187072,188.9150127,53.45345913,FS,71.38247591,24.82,45.18,2014
368,1502238452,85.71428571,33.17302368,27.38571429,600,51.85746097,811.7998425,229.6442612,FS,90.57643667,25.03,44.96,2016
279,1460243652,86.15384615,44.19742397,30.07692308,350,53.69722475,984.2275093,277.5816844,FS,100,24.49,45.43,2017
426,1490543224,86.66666667,41.522732,18.35,330,44.68643017,483.2983169,124.8678626,FS,57.02793183,24.88,45.39,2015
309,1490241621,87,29.4341103,19.185,730,49.67233406,553.4117856,156.1601055,FS,93.92120507,24.87,45.25,2014
206,1470243221,87.05882353,30.42003762,22.15294118,610,44.33423407,860.3196392,242.2163747,FS,98.63520997,24.62,45.39,2016
311,1518541624,87.27272727,34.07609564,25.06363636,340,31.00762159,562.3072456,158.5875125,FS,100,25.23,45.24,2016
399,1472542824,87.5,25.25692594,18.225,650,32.56598507,448.6275735,126.5264346,FS,100,24.65,45.35,2015
402,1478537653,87.5,28.85710878,27.83125,440,28.7771772,426.7395197,118.2547031,FS,83.78569785,24.73,44.89,2013
303,1510239221,88.125,36.32138344,27.14375,380,39.37297597,584.288024,164.7867514,FS,100,25.13,45.03,2015
305,1484243621,88.75,43.65836461,25.9375,250,37.42525921,754.894156,212.9027988,FS,100,24.8,45.43,2016
331,1476238021,89.23076923,28.93389752,23.75384615,470,30.90306939,424.7427464,119.7901968,FS,100,24.7,44.92,2014
412,1512242821,89.28571429,46.21927551,36.01428571,140,23.48898141,406.0307838,99.4748571,FS,57.07474145,25.15,45.35,2017
430,1516542053,89.33333333,48.83500403,20.48666667,420,78.66863735,1196.021054,337.4415305,FS,94.601195,25.21,45.28,2017
339,1514544024,89.58333333,28.90444506,19.8,720,47.24454267,553.8980267,150.6781087,FS,85.95611018,25.18,45.46,2017
204,1470244021,90,37.11784463,23.80769231,410,44.36487245,576.3943305,152.0750154,FS,47.254314,24.62,45.46,2015
313,1518541653,90,31.76298104,26.6875,560,44.37316625,787.238615,222.0249066,FS,100,25.23,45.25,2016
421,1492542053,90,26.84574986,24.45,490,27.73556645,421.2006833,118.7912287,FS,100,24.9,45.28,2015
257,1472538824,90.58823529,28.98625006,22.18823529,520,34.31446987,433.4488122,122.2455685,FS,100,24.65,44.99,2014
178,1472539653,91.17647059,28.02361689,26.62941176,580,35.77389674,506.9504221,142.9752276,FS,100,24.65,45.07,2016
207,1498243252,91.76470588,41.77248796,26.21764706,400,54.81893041,777.0010907,219.0489715,FS,99.81397663,24.98,45.39,2014
284,1468542053,91.76470588,33.88741564,25.47058824,490,44.1939541,674.4744957,190.3770139,FS,93.99917125,24.6,45.28,2017
210,1496538024,91.875,20.191302,14.915625,1360,43.54691953,410.9197572,114.798759,FS,97.25386846,24.95,44.92,2016
285,1482540853,92.30769231,36.16544128,29.20769231,350,35.95385502,578.712371,163.21425,FS,100,24.78,45.18,2017
428,1502238421,92.85714286,29.6915813,29.5,340,23.54157167,360.6374672,103.0191695,FS,64.41326459,25.03,44.96,2016
432,1480542853,94.28571429,40.28280097,29.73571429,370,47.155345,868.978886,245.0781152,FS,100,24.75,45.36,2017
397,1478241621,95,36.086397,29.59375,410,41.93346823,664.226293,185.7956784,FS,96.03320047,24.72,45.25,2017
319,1506540853,96,38.42835492,24.29,260,30.15551956,450.6231628,127.2564245,FS,85.51042917,25.08,45.18,2015
374,1476237252,96.66666667,26.92033732,30.03888889,570,32.443353,497.2385752,140.2361954,FS,100,24.7,44.85,2017
379,1504243621,98.25,33.73279894,24.53,580,51.83494361,837.0375266,233.2671844,FS,97.62398292,25.05,45.43,2014
177,1520242021,100,50.62658964,29.3625,190,38.24730405,743.5778858,209.7112711,FS,100,25.26,45.28,2015
188,1472239621,100,33.70623088,29.71428571,370,33.01505217,493.1926345,139.0951187,FS,100,24.65,45.07,2016
199,1476542053,100,36.49364328,33.3,200,20.91964557,385.555494,108.738216,FS,92.24282064,24.7,45.28,2015
353,1472239652,100,36.44540927,30.93571429,280,29.21013579,458.1295821,129.5221502,FS,93.92893538,24.65,45.07,2016
369,1510544853,100,36.27622204,18.37142857,140,14.46978306,164.7157786,45.6072436,FS,86.31910332,25.13,45.54,2017
388,1506540053,100,44.8,27,20,3.15265106,42.94162442,12.11082633,FS,100,25.08,45.1,2015
409,1498538424,100.9259259,24.10698154,28.04444444,930,42.44812394,655.0431706,184.7418254,FS,100,24.98,44.96,2014
358,1502242421,101.4285714,39.42546952,25.92142857,340,41.50711484,557.3206758,156.3443144,FS,65.76217125,25.03,45.32,2013
375,1472542053,101.8181818,31.14271002,23.00909091,620,47.2274367,583.5846704,164.5883846,FS,100,24.65,45.28,2014
304,1518241621,102,49.59254606,16.78,160,30.90599107,414.0181216,116.7655308,FS,100,25.23,45.24,2016
292,1504239652,102.5,21.79063131,17.76875,620,23.12177636,292.1347945,82.3907761,FS,100,25.05,45.07,2016
420,1504543624,102.7272727,42.51554041,26.24545455,340,48.2685448,736.230956,202.2438044,FS,53.90503,25.06,45.43,2014
220,1486538424,102.8571429,29.68645451,23.05,430,29.76288331,387.8521525,109.3859426,FS,100,24.83,44.96,2016
278,1464542024,103.75,38.12176663,27.8,110,12.55534362,219.0647857,61.7828415,FS,100,24.55,45.28,2014
170,1460243621,104,49.46943501,30.81,260,49.97319653,934.2614381,234.5891311,FS,57.47986741,24.49,45.43,2017
265,1512542824,104,30.82884513,21.66,260,19.40786406,237.9314668,60.02763179,FS,55.14218343,25.16,45.35,2017
366,1494239252,104.2857143,55.55191909,32.3,140,33.93251504,592.6253617,167.1381308,FS,100,24.93,45.03,2015
163,1466544053,105,49.34460067,28.98,260,49.72130363,801.5219527,208.1524056,FS,65.1381064,24.57,45.46,2017
327,1502239252,105,37.67365944,34.63,260,28.98270019,535.9400642,151.1511763,FS,100,25.03,45.03,2014
